,loan_identifier,seller_name,original_interest_rate,original_upb,origination_date,first_payment_date,number_of_borrowers,original_dir,borrower_credit_score_at_origination,first_time_home_buyer_indicator,loan_purpose,property_type,number_of_units,occupancy_type,property_state,primary_mortgage_insurance_percent,product_type,current_interest_rate,remaining_months_to_legal_maturity,adj_remaining_months_to_maturity,maturity_date,current_loan_delinquency_status,delinquency
1,100018000000,OTHER,5,307000,2018-12-01,2019-02-01,1,44,722,N,P,PU,1,P,TX,25,FRM,4.75,349,349,2049-01-01,0,f
2,100018000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,256000,2018-11-01,2019-01-01,2,41,728,N,P,SF,1,S,NC,25,FRM,4.88,348,348,2048-12-01,0,f
3,100020000000,"WELLS FARGO BANK, N.A.",5,248000,2018-12-01,2019-02-01,2,40,730,Y,P,SF,1,P,IL,25,FRM,4.88,351,0,2049-01-01,X,t
6,100021000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,264000,2018-10-01,2018-12-01,2,45,710,N,P,PU,1,P,TX,30,FRM,4.63,347,347,2048-11-01,0,f
8,100026000000,OTHER,5,174000,2018-12-01,2019-02-01,2,37,747,Y,P,SF,1,P,IN,35,FRM,5.25,349,348,2049-01-01,0,f
9,100030000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,204000,2019-01-01,2019-03-01,2,42,717,Y,P,PU,1,P,UT,25,FRM,5.13,350,350,2049-02-01,0,f
10,100031000000,OTHER,5,466000,2019-02-01,2019-04-01,2,42,719,N,P,SF,1,P,KS,30,FRM,4.88,356,0,2049-03-01,X,t
11,100039000000,"WELLS FARGO BANK, N.A.",5,385000,2019-01-01,2019-03-01,1,49,730,N,P,PU,1,P,NE,30,FRM,4.75,350,350,2049-02-01,0,f
15,100051000000,"EAGLE HOME MORTGAGE, LLC",4,325000,2019-02-01,2019-04-01,1,49,804,N,P,PU,1,P,FL,25,FRM,4.13,355,0,2049-03-01,X,t
16,100056000000,PENNYMAC CORP.,5,209000,2018-12-01,2019-02-01,2,43,760,Y,P,PU,1,P,VA,30,FRM,5.25,349,348,2049-01-01,0,f
21,100077000000,PENNYMAC CORP.,5,385000,2019-02-01,2019-04-01,1,45,700,N,P,SF,1,P,NC,30,FRM,4.75,351,351,2049-03-01,0,f
22,100080000000,TRUIST BANK (FORMERLY SUNTRUST BANK),5,287000,2018-12-01,2019-02-01,2,49,809,N,P,SF,1,P,MN,30,FRM,5.13,354,0,2049-01-01,X,t
23,100082000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,372000,2018-12-01,2019-02-01,1,41,735,N,P,PU,1,P,CO,30,FRM,4.88,349,349,2049-01-01,0,f
28,100098000000,PENNYMAC CORP.,5,537000,2019-01-01,2019-03-01,2,47,762,Y,P,SF,1,P,CA,30,FRM,5.38,353,0,2049-02-01,X,t
34,100117000000,OTHER,5,135000,2018-12-01,2019-02-01,2,35,773,N,P,SF,1,S,TX,25,FRM,5.38,349,349,2049-01-01,0,f
36,100118000000,OTHER,5,337000,2019-02-01,2019-04-01,1,41,717,N,P,SF,1,P,CA,30,FRM,4.5,357,0,2049-03-01,X,t
39,100124000000,OTHER,5,309000,2018-11-01,2019-01-01,1,32,669,Y,P,PU,1,P,TX,30,FRM,4.88,348,348,2048-12-01,0,f
42,100134000000,"WELLS FARGO BANK, N.A.",5,118000,2018-12-01,2019-02-01,1,35,723,N,P,SF,1,P,KS,25,FRM,4.88,349,348,2049-01-01,0,f
43,100135000000,OTHER,5,422000,2018-12-01,2019-02-01,2,36,790,N,P,PU,1,P,CO,30,FRM,4.75,349,348,2049-01-01,0,f
48,100155000000,OTHER,5,203000,2018-12-01,2019-02-01,1,39,789,Y,P,PU,1,P,MD,25,FRM,4.75,349,349,2049-01-01,0,f
50,100173000000,"WELLS FARGO BANK, N.A.",5,391000,2018-11-01,2019-01-01,2,32,756,Y,P,SF,1,P,GA,25,FRM,5.13,353,0,2048-12-01,X,t
57,100200000000,OTHER,6,180000,2019-01-01,2019-03-01,1,25,690,N,P,PU,1,P,GA,30,FRM,5.5,350,350,2049-02-01,0,f
58,100205000000,"WELLS FARGO BANK, N.A.",5,197000,2018-11-01,2019-01-01,1,44,769,N,P,PU,1,P,TX,25,FRM,5.13,348,229,2048-12-01,0,f
62,100224000000,"WELLS FARGO BANK, N.A.",5,104000,2018-12-01,2019-02-01,1,35,687,Y,P,PU,1,P,CT,25,FRM,4.88,349,348,2049-01-01,0,f
63,100225000000,OTHER,5,405000,2019-03-01,2019-05-01,2,42,792,N,P,SF,1,P,IL,25,FRM,4.5,352,0,2049-04-01,X,t
64,100229000000,OTHER,5,136000,2019-01-01,2019-03-01,1,38,782,N,P,SF,1,P,MO,30,FRM,4.88,350,350,2049-02-01,0,f
67,100236000000,"EAGLE HOME MORTGAGE, LLC",5,293000,2019-01-01,2019-03-01,1,46,805,Y,P,PU,1,P,TX,35,FRM,4.88,350,349,2049-02-01,0,f
69,100236000000,OTHER,4,212000,2019-02-01,2019-04-01,2,47,783,N,P,PU,1,S,NV,25,FRM,4.25,351,349,2049-03-01,0,f
75,100245000000,"LAKEVIEW LOAN SERVICING, LLC",5,560000,2018-12-01,2019-02-01,1,50,785,N,P,CO,1,P,CA,25,FRM,4.99,353,0,2049-01-01,X,t
77,100248000000,U.S. BANK N.A.,7,175000,2018-11-01,2019-01-01,1,37,671,Y,P,SF,1,P,MD,18,FRM,6.5,348,348,2048-12-01,0,f
78,100250000000,"WELLS FARGO BANK, N.A.",5,238000,2018-12-01,2019-02-01,1,28,691,Y,P,SF,1,P,MA,30,FRM,5.25,349,349,2049-01-01,0,f
79,100250000000,"WELLS FARGO BANK, N.A.",5,104000,2019-01-01,2019-03-01,1,36,817,Y,P,SF,1,P,NY,25,FRM,4.88,350,349,2049-02-01,0,f
80,100253000000,OTHER,5,234000,2019-02-01,2019-04-01,1,38,719,N,P,SF,1,P,NJ,25,FRM,4.88,352,0,2049-03-01,X,t
83,100265000000,OTHER,5,254000,2019-01-01,2019-03-01,2,43,756,Y,P,PU,1,P,NH,30,FRM,4.63,350,349,2049-02-01,0,f
90,100283000000,PENNYMAC CORP.,5,347000,2018-12-01,2019-02-01,1,49,727,Y,P,SF,1,P,GA,30,FRM,5.25,349,349,2049-01-01,0,f
91,100290000000,OTHER,5,272000,2019-03-01,2019-05-01,2,39,723,N,R,SF,1,P,OR,12,FRM,4.5,352,352,2049-04-01,0,f
92,100296000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,280000,2019-01-01,2019-03-01,1,45,719,Y,P,PU,1,P,WA,25,FRM,4.63,350,348,2049-02-01,0,f
93,100297000000,"WELLS FARGO BANK, N.A.",5,294000,2019-02-01,2019-04-01,2,44,781,N,R,SF,1,P,AZ,12,FRM,5,351,350,2049-03-01,0,f
96,100297000000,"WELLS FARGO BANK, N.A.",5,361000,2018-12-01,2019-02-01,3,49,680,Y,P,PU,1,P,IN,12,FRM,5.25,349,349,2049-01-01,0,f
105,100325000000,TRUIST BANK (FORMERLY SUNTRUST BANK),5,233000,2018-12-01,2019-02-01,2,33,762,Y,P,SF,1,P,IA,25,FRM,5.13,355,0,2049-01-01,X,t
113,100340000000,OTHER,5,230000,2019-01-01,2019-03-01,1,43,784,Y,P,SF,1,P,OH,25,FRM,5.13,353,0,2049-02-01,X,t
117,100353000000,"WELLS FARGO BANK, N.A.",5,529000,2018-12-01,2019-02-01,2,39,765,Y,P,SF,1,P,CO,30,FRM,4.88,349,349,2049-01-01,0,f
119,100360000000,"LAKEVIEW LOAN SERVICING, LLC",5,285000,2018-11-01,2019-01-01,2,45,731,Y,P,SF,1,P,CA,18,FRM,4.75,348,348,2048-12-01,0,f
120,100365000000,"LAKEVIEW LOAN SERVICING, LLC",6,294000,2018-10-01,2018-12-01,2,36,734,Y,P,PU,1,P,CA,16,FRM,5.63,347,347,2048-11-01,0,f
122,100372000000,OTHER,5,419000,2018-12-01,2019-02-01,1,45,791,N,P,PU,1,P,VA,30,FRM,5.13,349,349,2049-01-01,0,f
123,100378000000,PENNYMAC CORP.,6,365000,2019-02-01,2019-04-01,1,40,774,Y,P,SF,1,P,MD,35,FRM,6,354,0,2049-03-01,X,t
124,100384000000,OTHER,5,356000,2018-12-01,2019-02-01,2,48,756,N,P,PU,1,P,FL,25,FRM,4.99,353,0,2049-01-01,X,t
128,100394000000,"EAGLE HOME MORTGAGE, LLC",5,192000,2019-02-01,2019-04-01,2,23,779,N,P,PU,1,P,FL,25,FRM,4.88,351,312,2049-03-01,0,f
133,100400000000,"LAKEVIEW LOAN SERVICING, LLC",6,340000,2018-12-01,2019-02-01,1,45,788,Y,P,CO,1,P,CA,18,FRM,5.75,349,349,2049-01-01,0,f
139,100415000000,"FLAGSTAR BANK, FSB",5,616000,2019-02-01,2019-04-01,1,48,711,N,P,SF,1,P,CA,25,FRM,4.69,351,351,2049-03-01,0,f
140,100429000000,OTHER,5,308000,2019-02-01,2019-04-01,2,49,725,Y,P,SF,1,P,CA,35,FRM,5,351,0,2049-03-01,X,t
141,100430000000,QUICKEN LOANS INC.,5,561000,2018-11-01,2019-01-01,2,40,808,Y,P,SF,1,P,NY,30,FRM,5.13,353,0,2048-12-01,X,t
142,100433000000,"WELLS FARGO BANK, N.A.",5,320000,2018-12-01,2019-02-01,1,39,793,Y,P,SF,1,P,NJ,25,FRM,4.88,349,0,2049-01-01,X,t
146,100443000000,OTHER,5,109000,2018-12-01,2019-02-01,1,31,689,Y,P,SF,1,P,MI,35,FRM,5,349,348,2049-01-01,0,f
147,100445000000,OTHER,5,250000,2018-12-01,2019-02-01,1,49,811,Y,P,PU,1,P,NV,25,FRM,5.13,349,349,2049-01-01,0,f
152,100458000000,OTHER,5,156000,2018-12-01,2019-02-01,1,31,770,Y,P,PU,1,P,ID,16,FRM,4.88,349,348,2049-01-01,0,f
153,100464000000,OTHER,5,338000,2019-02-01,2019-04-01,1,45,782,N,P,PU,1,P,AZ,30,FRM,4.88,354,0,2049-03-01,X,t
156,100476000000,OTHER,5,138000,2019-01-01,2019-03-01,1,33,734,Y,P,PU,1,P,MO,12,FRM,4.88,350,350,2049-02-01,0,f
159,100477000000,OTHER,5,408000,2018-12-01,2019-02-01,2,39,787,N,P,CO,1,P,CA,30,FRM,4.63,356,0,2049-01-01,X,t
161,100482000000,OTHER,6,62000,2018-12-01,2019-02-01,2,32,716,Y,P,SF,1,P,AR,16,FRM,5.63,349,349,2049-01-01,0,f
162,100485000000,OTHER,6,188000,2018-12-01,2019-02-01,1,44,679,Y,P,SF,1,P,WA,18,FRM,6.25,352,0,2049-01-01,X,t
167,100495000000,"WELLS FARGO BANK, N.A.",5,289000,2018-12-01,2019-01-01,2,29,707,Y,P,PU,1,P,TX,12,FRM,5.25,348,348,2048-12-01,0,f
170,100498000000,OTHER,5,92000,2018-12-01,2019-02-01,1,27,688,Y,P,SF,1,P,MI,35,FRM,5,352,0,2049-01-01,X,t
172,100517000000,FREEDOM MORTGAGE CORP.,5,319000,2018-12-01,2019-02-01,2,20,799,N,P,SF,1,P,IN,30,FRM,4.88,354,0,2049-01-01,X,t
176,100545000000,OTHER,5,225000,2018-12-01,2019-02-01,1,48,704,Y,P,SF,1,P,PA,25,FRM,5,352,0,2049-01-01,X,t
178,100552000000,"WELLS FARGO BANK, N.A.",5,370000,2018-11-01,2019-02-01,2,26,794,N,R,SF,1,P,NC,30,FRM,4.63,349,349,2049-01-01,0,f
179,100554000000,"AMERIHOME MORTGAGE COMPANY, LLC",5,219000,2019-02-01,2019-04-01,1,39,823,N,P,SF,1,S,OR,12,FRM,4.75,351,348,2049-03-01,0,f
187,100584000000,"EAGLE HOME MORTGAGE, LLC",6,182000,2019-01-01,2019-03-01,2,32,746,N,P,CO,1,S,FL,25,FRM,5.88,354,0,2049-02-01,X,t
188,100588000000,PENNYMAC CORP.,4,204000,2019-03-01,2019-05-01,2,17,809,Y,P,PU,1,P,NC,12,FRM,4.38,352,340,2049-04-01,0,f
190,100593000000,OTHER,6,325000,2018-11-01,2019-01-01,2,49,671,Y,P,SF,1,P,CA,35,FRM,5.9,348,348,2048-12-01,0,f
192,100597000000,OTHER,5,254000,2018-12-01,2019-02-01,2,24,788,Y,P,SF,1,P,VA,30,FRM,4.88,349,345,2049-01-01,0,f
194,100605000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,290000,2019-03-01,2019-05-01,1,50,742,N,P,SF,1,P,IL,25,FRM,4.63,352,352,2049-04-01,0,f
195,100605000000,PENNYMAC CORP.,5,119000,2019-02-01,2019-04-01,1,48,767,Y,P,CO,1,P,MO,25,FRM,4.63,351,348,2049-03-01,0,f
198,100614000000,OTHER,6,437000,2019-01-01,2019-03-01,2,18,806,Y,P,SF,1,P,VA,30,FRM,5.6,350,350,2049-02-01,0,f
199,100615000000,PENNYMAC CORP.,5,118000,2019-02-01,2019-03-01,1,36,689,Y,P,SF,1,P,NE,25,FRM,4.63,350,350,2049-02-01,0,f
203,100621000000,"MOVEMENT MORTGAGE, LLC",5,311000,2018-12-01,2019-02-01,2,38,760,N,P,PU,1,P,TN,30,FRM,4.88,349,349,2049-01-01,0,f
204,100623000000,PENNYMAC CORP.,5,346000,2018-12-01,2019-02-01,2,36,787,N,P,SF,1,P,CA,30,FRM,4.99,352,0,2049-01-01,X,t
211,100639000000,TRUIST BANK (FORMERLY SUNTRUST BANK),5,181000,2019-01-01,2019-03-01,1,46,719,Y,P,SF,1,P,OH,25,FRM,5.13,350,349,2049-02-01,0,f
212,100643000000,OTHER,5,285000,2018-05-01,2018-07-01,1,43,771,Y,P,CO,1,P,VA,16,FRM,4.75,342,342,2048-06-01,0,f
216,100656000000,PENNYMAC CORP.,5,329000,2019-01-01,2019-03-01,2,38,758,Y,P,PU,1,P,OR,25,FRM,4.5,350,350,2049-02-01,0,f
218,100660000000,OTHER,5,475000,2019-02-01,2019-04-01,3,49,681,N,P,PU,1,P,MO,30,FRM,4.88,353,0,2049-03-01,X,t
221,100662000000,OTHER,4,67000,2019-02-01,2019-04-01,1,38,757,N,P,SF,1,P,IL,25,FRM,3.88,172,0,2034-03-01,X,t
224,100665000000,OTHER,4,103000,2019-01-01,2019-03-01,1,32,734,Y,P,SF,1,P,TN,25,FRM,4.38,350,350,2049-02-01,0,f
228,100681000000,"WELLS FARGO BANK, N.A.",5,338000,2018-11-01,2019-01-01,2,30,770,N,P,SF,1,P,CT,30,FRM,5,349,0,2048-12-01,X,t
230,100688000000,"AMERIHOME MORTGAGE COMPANY, LLC",5,204000,2018-11-01,2019-01-01,1,33,735,Y,P,CO,1,P,PA,25,FRM,4.88,348,340,2048-12-01,0,f
235,100700000000,"AMERIHOME MORTGAGE COMPANY, LLC",5,278000,2019-03-01,2019-05-01,1,50,811,Y,P,SF,1,P,CA,35,FRM,4.75,352,351,2049-04-01,0,f
239,100706000000,"NATIONSTAR MORTGAGE, LLC",5,344000,2019-01-01,2019-03-01,2,49,816,Y,P,SF,1,P,NY,25,FRM,5.13,350,350,2049-02-01,0,f
240,100707000000,"WELLS FARGO BANK, N.A.",5,184000,2019-01-01,2019-03-01,1,39,777,Y,P,CO,1,P,MA,25,FRM,5.13,350,344,2049-02-01,0,f
243,100709000000,OTHER,5,164000,2019-03-01,2019-05-01,1,47,767,N,R,SF,1,P,FL,25,FRM,4.75,340,340,2048-04-01,0,f
245,100710000000,OTHER,5,403000,2018-12-01,2019-02-01,2,29,777,Y,P,PU,1,P,TX,25,FRM,4.99,349,347,2049-01-01,0,f
246,100712000000,QUICKEN LOANS INC.,5,387000,2018-12-01,2019-02-01,2,49,812,Y,P,CO,1,P,CA,30,FRM,5.13,349,349,2049-01-01,0,f
248,100716000000,OTHER,5,380000,2019-01-01,2019-03-01,1,41,795,N,P,PU,1,P,PA,30,FRM,5.13,350,347,2049-02-01,0,f
253,100731000000,"LAKEVIEW LOAN SERVICING, LLC",5,285000,2019-01-01,2019-03-01,2,39,801,N,P,PU,1,P,NV,30,FRM,4.88,350,349,2049-02-01,0,f
254,100731000000,OTHER,6,137000,2018-10-01,2018-12-01,2,30,708,Y,P,SF,1,P,LA,18,FRM,5.75,347,347,2048-11-01,0,f
255,100737000000,U.S. BANK N.A.,7,166000,2018-10-01,2018-12-01,1,42,723,Y,P,SF,1,P,AZ,18,FRM,6.63,347,347,2048-11-01,0,f
260,100752000000,OTHER,5,162000,2019-02-01,2019-04-01,1,45,708,N,P,SF,1,P,ME,25,FRM,4.63,351,351,2049-03-01,0,f
263,100754000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,378000,2019-01-01,2019-03-01,1,40,643,Y,P,SF,1,P,CA,35,FRM,5.25,350,349,2049-02-01,0,f
268,100766000000,OTHER,5,202000,2019-02-01,2019-04-01,1,23,771,Y,P,SF,1,P,MD,25,FRM,4.5,351,352,2049-03-01,1,t
271,100769000000,OTHER,5,345000,2018-11-01,2019-01-01,1,46,725,Y,P,PU,1,P,ID,18,FRM,4.88,348,348,2048-12-01,0,f
278,100787000000,"AMERIHOME MORTGAGE COMPANY, LLC",5,380000,2018-12-01,2019-02-01,1,27,698,N,P,PU,1,P,GA,30,FRM,5,349,349,2049-01-01,0,f
281,100801000000,OTHER,5,504000,2019-02-01,2019-04-01,1,44,775,Y,P,CO,1,P,CA,25,FRM,4.88,351,351,2049-03-01,0,f
283,100802000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,5,235000,2019-01-01,2019-03-01,2,45,740,Y,P,PU,1,P,OK,30,FRM,4.88,350,350,2049-02-01,0,f
292,100826000000,"WELLS FARGO BANK, N.A.",5,204000,2018-08-01,2018-10-01,1,35,746,Y,P,SF,1,P,PA,30,FRM,4.75,345,333,2048-09-01,0,f
294,100830000000,"WELLS FARGO BANK, N.A.",5,562000,2019-01-01,2019-03-01,2,30,704,Y,P,PU,1,P,CA,30,FRM,4.88,350,350,2049-02-01,0,f
298,100838000000,OTHER,4,294000,2019-02-01,2019-04-01,1,40,801,N,P,PU,1,P,TN,25,FRM,4.25,351,350,2049-03-01,0,f
304,100860000000,OTHER,5,215000,2019-01-01,2019-03-01,2,41,715,Y,P,SF,1,P,NV,25,FRM,4.99,350,351,2049-02-01,1,t
305,100870000000,"AMERIHOME MORTGAGE COMPANY, LLC",5,330000,2018-12-01,2019-02-01,1,45,699,Y,P,SF,1,P,OR,25,FRM,5.25,350,0,2049-01-01,X,t
306,100876000000,"WELLS FARGO BANK, N.A.",5,437000,2018-12-01,2019-02-01,2,26,774,N,P,CO,1,S,VA,25,FRM,5.38,349,334,2049-01-01,0,f
309,100886000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,185000,2018-11-01,2018-12-01,1,40,694,N,P,SF,1,P,TX,30,FRM,4.75,347,348,2048-11-01,1,t
310,100891000000,"MOVEMENT MORTGAGE, LLC",5,194000,2018-12-01,2019-02-01,1,42,767,N,P,SF,1,S,TN,25,FRM,4.99,349,349,2049-01-01,0,f
311,100896000000,OTHER,5,135000,2019-01-01,2019-03-01,2,35,776,N,P,SF,1,P,IL,25,FRM,4.63,232,0,2039-02-01,X,t
312,100897000000,OTHER,5,114000,2018-11-01,2019-01-01,1,26,746,Y,P,SF,1,P,OH,25,FRM,5.45,348,348,2048-12-01,0,f
317,100904000000,OTHER,5,451000,2019-02-01,2019-04-01,3,42,809,Y,P,PU,1,P,WA,30,FRM,4.88,351,351,2049-03-01,0,f
320,100919000000,PENNYMAC CORP.,5,138000,2018-12-01,2019-02-01,1,28,715,N,P,SF,1,P,NJ,30,FRM,5.25,352,0,2049-01-01,X,t
323,100923000000,OTHER,5,385000,2019-02-01,2019-04-01,1,48,813,N,P,SF,1,P,IL,30,FRM,4.63,359,0,2049-03-01,X,t
325,100930000000,"WELLS FARGO BANK, N.A.",5,484000,2019-01-01,2019-03-01,2,31,714,N,P,PU,1,P,FL,25,FRM,5.25,350,349,2049-02-01,0,f
332,100954000000,OTHER,7,111000,2018-11-01,2019-01-01,1,27,735,Y,P,SF,1,P,WA,18,FRM,6.5,348,350,2048-12-01,2,t
334,100961000000,OTHER,4,102000,2019-02-01,2019-04-01,1,35,781,N,P,SF,1,P,IL,25,FRM,4.25,351,0,2049-03-01,X,t
336,100964000000,OTHER,5,133000,2019-03-01,2019-05-01,1,33,728,N,P,SF,1,P,WV,18,FRM,5,352,352,2049-04-01,0,f
338,100969000000,QUICKEN LOANS INC.,5,122000,2019-01-01,2019-03-01,1,27,772,Y,P,CO,1,P,UT,25,FRM,4.88,355,0,2049-02-01,X,t
343,100985000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,133000,2018-09-01,2018-11-01,2,47,768,N,P,SF,1,S,WI,25,FRM,4.99,348,0,2048-10-01,X,t
344,100986000000,OTHER,5,100000,2018-12-01,2019-02-01,2,35,756,Y,P,SF,1,P,IA,30,FRM,5.13,349,349,2049-01-01,0,f
345,100987000000,PENNYMAC CORP.,5,133000,2019-03-01,2019-05-01,1,46,741,Y,P,SF,1,P,GA,25,FRM,4.5,352,352,2049-04-01,0,f
348,100996000000,PENNYMAC CORP.,5,301000,2018-12-01,2019-02-01,1,43,713,Y,P,PU,1,P,FL,35,FRM,5.25,349,349,2049-01-01,0,f
350,101000000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,233000,2019-02-01,2019-04-01,2,42,783,Y,P,SF,1,P,CT,25,FRM,4.5,351,351,2049-03-01,0,f
351,101006000000,PENNYMAC CORP.,5,271000,2018-12-01,2019-02-01,2,34,797,N,P,SF,1,P,TX,30,FRM,4.88,349,348,2049-01-01,0,f
352,101010000000,OTHER,6,306000,2019-01-01,2019-03-01,2,32,668,Y,P,PU,1,P,NV,35,FRM,5.88,350,350,2049-02-01,0,f
355,101016000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,131000,2018-10-01,2018-12-01,1,39,738,Y,P,CO,1,P,WI,35,FRM,4.75,347,347,2048-11-01,0,f
356,101022000000,PENNYMAC CORP.,5,241000,2019-01-01,2019-03-01,1,42,745,N,R,SF,1,P,ID,12,FRM,4.75,354,0,2049-02-01,X,t
358,101032000000,OTHER,6,315000,2018-10-01,2018-12-01,2,48,687,N,P,SF,1,P,FL,25,FRM,5.75,347,345,2048-11-01,0,f
362,101044000000,TRUIST BANK (FORMERLY SUNTRUST BANK),5,199000,2019-01-01,2019-03-01,1,31,773,N,P,CO,1,P,IL,30,FRM,5,350,349,2049-02-01,0,f
364,101056000000,OTHER,5,56000,2019-02-01,2019-04-01,1,44,742,Y,P,SF,1,P,GA,25,FRM,4.5,351,350,2049-03-01,0,f
369,101068000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,5,451000,2019-01-01,2019-03-01,1,40,763,N,P,PU,1,P,CO,30,FRM,4.75,352,0,2049-02-01,X,t
372,101074000000,OTHER,5,219000,2019-01-01,2019-03-01,1,28,779,Y,P,SF,1,P,MA,25,FRM,4.88,350,346,2049-02-01,0,f
375,101080000000,OTHER,5,142000,2019-02-01,2019-04-01,2,42,711,Y,P,SF,1,P,IA,25,FRM,5.13,351,351,2049-03-01,0,f
379,101096000000,OTHER,5,162000,2019-02-01,2019-04-01,1,44,781,N,P,MH,1,P,NE,30,FRM,5.25,351,351,2049-03-01,0,f
391,101135000000,"EAGLE HOME MORTGAGE, LLC",5,446000,2018-12-01,2019-02-01,1,30,751,Y,P,PU,1,P,TX,25,FRM,4.63,357,0,2049-01-01,X,t
393,101150000000,"WELLS FARGO BANK, N.A.",5,176000,2018-12-01,2019-02-01,1,25,710,N,P,PU,1,P,IL,30,FRM,5,349,349,2049-01-01,0,f
394,101152000000,"WELLS FARGO BANK, N.A.",5,231000,2018-11-01,2019-01-01,1,49,710,N,P,PU,1,P,TX,25,FRM,5.13,348,346,2048-12-01,0,f
396,101157000000,"WELLS FARGO BANK, N.A.",5,294000,2018-12-01,2019-02-01,1,40,770,Y,P,CO,1,P,MA,25,FRM,5,349,0,2049-01-01,X,t
398,101163000000,OTHER,4,421000,2019-02-01,2019-04-01,1,44,751,N,P,PU,1,P,NC,25,FRM,4.38,351,351,2049-03-01,0,f
400,101179000000,PENNYMAC CORP.,5,219000,2019-02-01,2019-04-01,2,45,770,Y,P,PU,1,P,GA,30,FRM,5.25,351,350,2049-03-01,0,f
402,101185000000,OTHER,6,176000,2018-10-01,2018-12-01,1,39,766,Y,P,SF,1,P,LA,18,FRM,5.88,350,0,2048-11-01,X,t
408,101209000000,PENNYMAC CORP.,5,490000,2018-11-01,2019-01-01,2,22,751,Y,P,SF,1,P,MD,30,FRM,5.38,348,341,2048-12-01,0,f
411,101218000000,"FLAGSTAR BANK, FSB",5,225000,2018-11-01,2019-01-01,1,29,758,Y,P,SF,1,P,CA,30,FRM,5.38,348,347,2048-12-01,0,f
413,101223000000,OTHER,5,356000,2019-03-01,2019-05-01,1,45,779,N,P,SF,1,P,MA,25,FRM,5,352,346,2049-04-01,0,f
416,101227000000,OTHER,5,433000,2018-12-01,2019-02-01,1,49,738,Y,P,SF,1,P,TX,30,FRM,4.75,349,349,2049-01-01,0,f
421,101240000000,OTHER,5,144000,2019-01-01,2019-03-01,1,45,732,N,P,SF,1,P,NH,25,FRM,5.38,351,0,2049-02-01,X,t
424,101242000000,OTHER,5,360000,2019-02-01,2019-04-01,1,44,680,N,P,PU,1,S,CO,25,FRM,4.75,351,352,2049-03-01,1,t
426,101242000000,OTHER,5,179000,2019-02-01,2019-04-01,1,47,772,Y,P,CO,1,P,NV,25,FRM,5.38,351,351,2049-03-01,0,f
427,101245000000,OTHER,4,250000,2018-08-01,2018-10-01,1,29,813,N,P,SF,1,P,OH,30,FRM,4.38,345,344,2048-09-01,0,f
430,101254000000,"WELLS FARGO BANK, N.A.",5,85000,2018-12-01,2019-02-01,1,40,712,Y,P,SF,1,P,MO,30,FRM,5.13,349,344,2049-01-01,0,f
431,101255000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,113000,2019-03-01,2019-05-01,2,34,732,N,P,SF,1,P,PA,30,FRM,4.5,352,352,2049-04-01,0,f
436,101278000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,5,178000,2019-02-01,2019-04-01,1,38,703,N,P,SF,1,S,ID,25,FRM,5.25,351,351,2049-03-01,0,f
440,101288000000,PENNYMAC CORP.,5,426000,2018-12-01,2019-02-01,2,28,751,N,P,SF,1,P,TX,30,FRM,4.88,352,0,2049-01-01,X,t
442,101291000000,QUICKEN LOANS INC.,5,78000,2018-12-01,2019-02-01,1,36,725,Y,P,SF,1,P,IN,25,FRM,5.38,349,349,2049-01-01,0,f
443,101292000000,OTHER,5,202000,2018-12-01,2019-02-01,1,50,720,N,P,SF,1,P,GA,25,FRM,5.13,349,346,2049-01-01,0,f
449,101311000000,"WELLS FARGO BANK, N.A.",5,184000,2019-02-01,2019-04-01,1,43,738,Y,P,PU,1,P,NC,25,FRM,4.75,351,350,2049-03-01,0,f
450,101312000000,"LAKEVIEW LOAN SERVICING, LLC",5,165000,2018-12-01,2019-02-01,1,49,781,N,P,CO,1,P,PA,30,FRM,4.63,349,349,2049-01-01,0,f
451,101314000000,U.S. BANK N.A.,6,154000,2018-12-01,2019-02-01,1,39,734,Y,P,SF,1,P,FL,18,FRM,5.75,349,337,2049-01-01,0,f
452,101322000000,"WELLS FARGO BANK, N.A.",6,326000,2019-01-01,2019-03-01,2,42,733,N,P,SF,1,P,MI,12,FRM,5.5,353,0,2049-02-01,X,t
